categorical_accuracy,loss,val_categorical_accuracy,val_loss
0.358349262475,15.4203616406,0.33203421734,15.2418799139
0.363622476302,15.4140284589,0.356176255044,15.1745400963
0.363354994336,15.3890699868,0.359315802894,15.1924806841
0.36681315259,15.3950163085,0.35455235126,15.1504744573
0.369850982252,15.3866466202,0.34556674945,15.2318212954
0.36952618304,15.377112876,0.347407174205,15.1723162241
0.371379450119,15.3720241852,0.33409116187,15.2051497529
0.370290416914,15.3726621855,0.35162932401,15.192088761
0.371818884619,15.3636267982,0.360939706904,15.1437961602
0.376041276585,15.3613111965,0.37338963668,15.1736038201
0.377684379575,15.3596244139,0.370250089177,15.0859913404
0.382059618488,15.3495979776,0.36472881593,15.1454580211
0.380703103305,15.3478793289,0.350113680646,15.1715603858
0.383817356322,15.3401877617,0.365053596676,15.1102625981
0.383836462361,15.3302804428,0.3589910221,15.1576826581
0.388460076971,15.3289877258,0.351521064146,15.1076456778
0.389262522691,15.32586545,0.342210681905,15.1120433997
0.386836080081,15.3141842362,0.373930938202,15.0830797625
0.394898747579,15.3129143726,0.366569240168,15.08885098
0.393867031863,15.3054304254,0.35466061156,15.1216665722
0.394191831133,15.304042654,0.371116171469,15.0807463383
0.398376011547,15.2983910978,0.371332691673,15.0414894534
0.399617891774,15.298501239,0.358124939969,15.0657226393
0.401967910989,15.2873179531,0.369384006982,15.007621221
0.400878877736,15.2908889734,0.371549212272,15.0851405882
0.401318311994,15.2829503084,0.373822677661,15.0738964107
0.401815064123,15.2822033274,0.374580499266,15.0381242393
0.407317548109,15.284977615,0.349139338305,15.1067089673
0.40735575979,15.2724817385,0.365270117106,15.0903444812
0.410145213747,15.2667545875,0.380643074495,15.0238353531
0.406782584362,15.2673547165,0.384432183239,15.0264840574
0.412628973493,15.2618020844,0.388437813114,15.0448034902
0.415342004075,15.2622576505,0.367543582534,15.0037920024
0.413737112782,15.2534436442,0.381184375348,15.0286372026
0.417653811468,15.2554015151,0.389628675966,15.021358282
0.419621713589,15.2457961198,0.371657472598,15.0298982824
